hour,entity_type,entity_id,event,detail
113,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
113,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
113,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
113,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
113,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
113,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
113,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
113,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
113,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
113,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
113,TRUCK,2,MOVING,"pos=(45.60,43.59) heading to WH-2"
114,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
114,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
114,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
114,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
114,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
114,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
114,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
114,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
114,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
114,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
114,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
114,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
114,TRUCK,2,MOVING,"pos=(44.65,41.83) heading to WH-2"
115,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
115,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
115,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
115,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
115,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
115,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
115,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
115,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
115,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
115,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
115,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
115,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
115,TRUCK,2,MOVING,"pos=(43.69,40.07) heading to WH-2"
116,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
116,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
116,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
116,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
116,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
116,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
116,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
116,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
116,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
116,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
116,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
116,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
116,TRUCK,2,MOVING,"pos=(42.73,38.32) heading to WH-2"
117,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
